Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
19;20333;"Journal of Politics";journal;"14682508, 00223816";3,027;Q1;129;145;407;7596;1701;404;3,44;52,39;United Kingdom;Western Europe;"University of Chicago Press";"1939-2021";"Sociology and Political Science (Q1)"
20;13358;"Sociology of Education";journal;"00380407, 19398573";2,932;Q1;100;20;53;1259;348;53;4,95;62,95;United States;Northern America;"SAGE Publications Inc.";"1980, 1983, 1992, 1996-2021";"Education (Q1); Sociology and Political Science (Q1)"
21;16232;"British Journal of Political Science";journal;"00071234, 14692112";2,918;Q1;101;167;216;9584;1098;206;4,85;57,39;United Kingdom;Western Europe;"Cambridge University Press";"1971-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
22;18437;"European Journal of Political Research";journal;"03044130, 14756765";2,824;Q1;100;94;150;5663;970;149;6,10;60,24;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2021";"Sociology and Political Science (Q1)"
23;22832;"Political Behavior";journal;"01909320, 15736687";2,814;Q1;75;149;173;8789;906;171;5,29;58,99;United States;Northern America;"Springer New York";"1979-2021";"Sociology and Political Science (Q1)"
24;17167;"Public Administration Review";journal;"00333352, 15406210";2,788;Q1;149;123;317;6921;2023;260;6,98;56,27;United Kingdom;Western Europe;"Wiley-Blackwell";"1978-1983, 1985, 1988, 1996-2021";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
25;16926;"American Journal of Sociology";journal;"00029602, 15375390";2,721;Q1;191;34;90;4103;467;89;4,64;120,68;United States;Northern America;"University of Chicago";"1946-1950, 1964-2021";"Sociology and Political Science (Q1)"
26;18400156711;"Cambridge Journal of Regions, Economy and Society";journal;"17521386, 17521378";2,696;Q1;59;35;96;2267;824;89;4,88;64,77;United Kingdom;Western Europe;"Oxford University Press";"2008-2021";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
27;19400158483;"Social Issues and Policy Review";journal;"17512409, 17512395";2,447;Q1;41;8;28;1597;267;26;9,26;199,63;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2021";"Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
28;14735;"Government Information Quarterly";journal;"0740624X";2,439;Q1;112;68;222;6298;2293;213;10,74;92,62;United Kingdom;Western Europe;"Elsevier Ltd.";"1984-2021";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)"
29;11600153640;"Quarterly Journal of Political Science";journal;"15540634, 15540626";2,425;Q1;37;18;50;913;130;48;2,41;50,72;United States;Northern America;"Now Publishers Inc";"2006-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
30;21100870919;"Political Science Research and Methods";journal;"20498470, 20498489";2,419;Q1;17;115;174;4536;781;171;4,60;39,44;United Kingdom;Western Europe;"Cambridge University Press";"2018-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
31;19251;"Work, Employment and Society";journal;"09500170";2,405;Q1;85;138;193;6999;1167;189;5,96;50,72;United Kingdom;Western Europe;"SAGE Publications Ltd";"1987-2021";"Accounting (Q1); Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
32;23574;"Public Opinion Quarterly";journal;"0033362X, 15375331";2,389;Q1;108;19;129;1078;609;128;3,80;56,74;United Kingdom;Western Europe;"Oxford University Press";"1937-2020";"Communication (Q1); History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
33;21100869398;"Work, Aging and Retirement";journal;"20544650";2,380;Q1;27;21;77;1627;365;76;4,74;77,48;United States;Northern America;"Oxford University Press";"2015-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geriatrics and Gerontology (Q1); Industrial Relations (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
34;5800185422;"Theory and Research in Social Education";journal;"00933104, 21631654";2,377;Q1;40;22;61;2014;288;58;3,57;91,55;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2021";"Education (Q1); Sociology and Political Science (Q1)"
35;19877;"Journal of Democracy";journal;"10455736, 10863214";2,372;Q1;91;50;160;1131;813;128;4,78;22,62;United States;Northern America;"Johns Hopkins University Press";"1996-2021";"Sociology and Political Science (Q1)"
36;19878;"Journal of European Public Policy";journal;"14664429, 13501763";2,360;Q1;114;169;305;8387;2032;276;5,10;49,63;United Kingdom;Western Europe;"Routledge";"1994-2021";"Public Administration (Q1); Sociology and Political Science (Q1)"
37;21100888814;"Journal of Race, Ethnicity and Politics";journal;"20566085";2,360;Q1;11;28;59;1848;167;55;2,46;66,00;United Kingdom;Western Europe;"Cambridge University Press";"2016-2021";"Anthropology (Q1); Sociology and Political Science (Q1)"
38;26362;"Journal of Peace Research";journal;"00223433";2,350;Q1;108;118;170;7215;748;166;4,54;61,14;United Kingdom;Western Europe;"SAGE Publications Ltd";"1964-2021";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)"
39;19250;"Work and Occupations";journal;"07308884, 15528464";2,334;Q1;73;14;46;1027;204;46;3,17;73,36;United States;Northern America;"SAGE Publications Inc.";"1974-2021";"Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
40;22861;"Political Psychology";journal;"0162895X, 14679221";2,332;Q1;102;87;237;6901;1380;235;5,28;79,32;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2021";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
41;30060;"World Development";journal;"0305750X, 18735991";2,297;Q1;192;421;997;29038;6765;906;6,27;68,97;United Kingdom;Western Europe;"Elsevier BV";"1973-2022";"Development (Q1); Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
42;28094;"Accounting, Organizations and Society";journal;"03613682";2,204;Q1;140;47;120;3795;647;111;4,78;80,74;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2021";"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
43;17530;"Social Forces";journal;"15347605, 00377732";2,135;Q1;137;40;183;3012;812;181;4,36;75,30;United Kingdom;Western Europe;"Oxford University Press";"1925-2021";"Anthropology (Q1); History (Q1); Sociology and Political Science (Q1)"
44;21100264650;"European Political Science Review";journal;"17557739, 17557747";2,075;Q1;38;30;85;1857;445;84;3,86;61,90;United Kingdom;Western Europe;"Cambridge University Press";"2009-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
45;27663;"Journal of Conflict Resolution";journal;"00220027";2,062;Q1;113;67;242;4349;881;241;3,34;64,91;United States;Northern America;"SAGE Publications Inc.";"1957-2021";"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
46;15821;"Journal of Policy Analysis and Management";journal;"02768739, 15206688";2,052;Q1;90;67;180;2802;515;129;2,75;41,82;United States;Northern America;"Wiley-Liss Inc.";"1981-2021";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
47;19700181316;"Journal of Public Relations Research";journal;"1062726X, 1532754X";2,012;Q1;51;25;41;1700;203;32;2,79;68,00;United Kingdom;Western Europe;"Routledge";"1992-1995, 2004, 2007-2021";"Public Administration (Q1); Sociology and Political Science (Q1)"
48;18110;"Sociological Theory";journal;"07352751, 14679558";2,010;Q1;79;14;55;1214;224;54;3,46;86,71;United Kingdom;Western Europe;"SAGE Publications Ltd";"1996-2021";"Sociology and Political Science (Q1)"
49;14427;"European Sociological Review";journal;"02667215, 14682672";2,001;Q1;93;21;151;1205;580;150;3,80;57,38;United Kingdom;Western Europe;"Oxford University Press";"1985-2021";"Sociology and Political Science (Q1)"
50;18090;"Sociological Methodology";journal;"14679531, 00811750";1,988;Q1;59;13;46;817;130;29;3,50;62,85;United Kingdom;Western Europe;"SAGE Publications Ltd";"1987-1990, 1993, 1996-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
51;26261;"Review of International Political Economy";journal;"09692290, 14664526";1,959;Q1;76;122;194;10021;968;191;4,94;82,14;United Kingdom;Western Europe;"Routledge";"1994-2021";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
52;5700168564;"Policy and Society";journal;"14494035";1,944;Q1;41;32;95;2252;883;90;10,82;70,38;United Kingdom;Western Europe;"Elsevier Ltd.";"2002-2003, 2008-2021";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
53;18091;"Sociological Methods and Research";journal;"00491241, 15528294";1,927;Q1;80;108;153;5838;715;147;4,01;54,06;United States;Northern America;"SAGE Publications Inc.";"1972-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
54;35048;"Food Policy";journal;"03069192";1,926;Q1;113;148;330;8652;2243;325;5,89;58,46;United Kingdom;Western Europe;"Elsevier BV";"1975-2021";"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
55;22786;"Policy Studies Journal";journal;"0190292X, 15410072";1,924;Q1;75;67;151;4748;747;141;4,88;70,87;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1972-2021";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
56;25835;"International Security";journal;"15314804, 01622889";1,910;Q1;113;20;73;91;347;42;5,93;4,55;United States;Northern America;"MIT Press Journals";"1984, 1996-2021";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
57;25772;"International Affairs";journal;"14682346, 00205850";1,891;Q1;84;94;199;4985;1083;191;4,02;53,03;United Kingdom;Western Europe;"Wiley-Blackwell";"1979-1986, 1988-1989, 1996-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
58;13892;"International Journal of Urban and Regional Research";journal;"03091317, 14682427";1,883;Q1;119;80;198;4891;916;189;4,08;61,14;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-2021";"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)"
59;18130;"Sociology";journal;"00380385";1,828;Q1;117;92;202;5073;994;197;3,98;55,14;United Kingdom;Western Europe;"SAGE Publications Ltd";"1967-2021";"Sociology and Political Science (Q1)"
60;15499;"Journal of Experimental Social Psychology";journal;"00221031, 10960465";1,825;Q1;151;116;397;7821;1689;392;3,15;67,42;United States;Northern America;"Academic Press Inc.";"1965-2022";"Social Psychology (Q1); Sociology and Political Science (Q1)"
61;24519;"Environmental Politics";journal;"09644016";1,788;Q1;75;94;200;5377;1182;182;5,18;57,20;United Kingdom;Western Europe;"Routledge";"1992-2021";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1)"
62;22867;"Political Research Quarterly";journal;"1938274X, 10659129";1,782;Q1;87;145;208;9601;721;207;3,21;66,21;United States;Northern America;"SAGE Publications Inc.";"1948, 1950-1952, 1954-1955, 1957-1967, 1969-1977, 1979-1986, 1988-2021";"Sociology and Political Science (Q1)"
63;5400152621;"Sustainability Science";journal;"18624065, 18624057";1,775;Q1;65;170;349;11220;2743;330;7,08;66,00;Japan;Asiatic Region;"Springer Japan";"2006-2021";"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Health (social science) (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Sociology and Political Science (Q1)"
64;25725;"World Politics";journal;"00438871, 10863338";1,734;Q1;114;19;55;1952;177;55;2,67;102,74;United Kingdom;Western Europe;"Cambridge University Press";"1948-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
65;22773;"Policy Sciences";journal;"00322687, 15730891";1,661;Q1;61;39;93;2875;545;90;5,46;73,72;Netherlands;Western Europe;"Springer Netherlands";"1970-2021";"Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
66;21100865122;"Research and Politics";journal;"20531680";1,659;Q1;24;43;142;1131;536;139;4,52;26,30;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2021";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
67;16956;"Cities";journal;"02642751";1,656;Q1;102;379;963;26115;6714;954;6,40;68,91;United Kingdom;Western Europe;"Elsevier Ltd.";"1983-2021";"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)"
68;77191;"Early Childhood Research Quarterly";journal;"08852006";1,653;Q1;105;105;353;8109;1579;346;4,12;77,23;United Kingdom;Western Europe;"Elsevier Ltd.";"1986-2022";"Developmental and Educational Psychology (Q1); Education (Q1); Sociology and Political Science (Q1)"
69;20444;"Legislative Studies Quarterly";journal;"03629805, 19399162";1,637;Q1;56;57;68;2883;162;67;2,55;50,58;United States;Northern America;"Wiley-Blackwell";"1996-2021";"Sociology and Political Science (Q1)"
70;17493;"Internet Research";journal;"10662243";1,618;Q1;94;101;231;9018;1932;226;6,91;89,29;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1991-2021";"Communication (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)"
71;17162;"Public Administration";journal;"14679299, 00333298";1,617;Q1;98;118;185;7425;811;183;4,57;62,92;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1923-2021";"Public Administration (Q1); Sociology and Political Science (Q1)"
72;25848;"International Studies Quarterly";journal;"14682478, 00208833";1,615;Q1;106;69;248;4960;815;247;2,56;71,88;United States;Northern America;"Oxford University Press";"1978, 1985, 1989-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
73;16051;"American Review of Public Administration";journal;"15523357, 02750740";1,612;Q1;62;43;210;3245;1020;206;5,13;75,47;United States;Northern America;"SAGE Publications Inc.";"1967-1983, 1987-2021";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
74;25987;"Social Networks";journal;"03788733";1,565;Q1;102;72;185;4452;736;184;3,14;61,83;Netherlands;Western Europe;"Elsevier BV";"1978-2022";"Anthropology (Q1); Psychology (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
75;29561;"Journals of Gerontology - Series B Psychological Sciences and Social Sciences";journal;"10795014, 17585368";1,559;Q1;159;280;587;8639;2710;570;4,46;30,85;United States;Northern America;"Gerontological Society of America";"1995-2021";"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
76;16192;"Media, Culture and Society";journal;"01634437, 14603675";1,554;Q1;73;117;269;5702;1051;261;3,69;48,74;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2021";"Communication (Q1); Sociology and Political Science (Q1)"
77;19088;"Governance";journal;"09521895, 14680491";1,525;Q1;80;79;136;5013;572;135;3,73;63,46;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1988-2021";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
78;21100835891;"Journal of Experimental Political Science";journal;"20522630, 20522649";1,497;Q1;16;31;59;982;113;57;1,87;31,68;United Kingdom;Western Europe;"Cambridge University Press";"2014-2021";"Sociology and Political Science (Q1)"
79;17449;"Science Communication";journal;"15528545, 10755470";1,489;Q1;64;39;107;2103;612;89;5,54;53,92;United States;Northern America;"SAGE Publications Inc.";"1979-2021";"Sociology and Political Science (Q1)"
80;14925;"Gender and Society";journal;"08912432, 15523977";1,472;Q1;109;43;105;1902;425;102;4,03;44,23;United States;Northern America;"SAGE Publications Inc.";"1987-2021";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)"
81;110031;"Resources Policy";journal;"03014207";1,461;Q1;80;529;696;33116;5390;696;8,02;62,60;United Kingdom;Western Europe;"Elsevier Ltd.";"1974-2021";"Economics and Econometrics (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
82;18106;"Sociological Review";journal;"1467954X, 00380261";1,444;Q1;91;87;232;5053;868;225;2,93;58,08;United Kingdom;Western Europe;"SAGE Publications Inc.";"1908-2021";"Sociology and Political Science (Q1)"
83;28611;"Geoforum";journal;"00167185";1,424;Q1;125;309;778;24658;3388;738;3,95;79,80;United Kingdom;Western Europe;"Elsevier BV";"1970-2021";"Sociology and Political Science (Q1)"
84;30084;"Journal of Sex Research";journal;"00224499, 15598519";1,421;Q1;118;152;301;9926;1585;296;4,62;65,30;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1965-2021";"Gender Studies (Q1); History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)"
85;67863;"Party Politics";journal;"13540688, 14603683";1,391;Q1;78;168;197;8844;644;194;3,28;52,64;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2021";"Sociology and Political Science (Q1)"
86;4100151507;"Research in Social Stratification and Mobility";book series;"02765624";1,390;Q1;43;50;142;3212;492;139;3,91;64,24;United States;Northern America;"JAI Press";"2001, 2003-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
87;19700187619;"International Journal of Strategic Communication";journal;"1553118X, 15531198";1,389;Q1;26;27;77;2127;341;77;4,04;78,78;United States;Northern America;"Routledge";"2010-2021";"Communication (Q1); Sociology and Political Science (Q1)"
88;29170;"Critical Perspectives on Accounting";journal;"10452354, 10959955";1,381;Q1;74;94;126;8930;620;117;5,38;95,00;United States;Northern America;"Academic Press Inc.";"1990-2021";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)"
89;22857;"Political Geography";journal;"09626298";1,369;Q1;102;143;368;9835;1377;325;3,53;68,78;United Kingdom;Western Europe;"Elsevier BV";"1983, 1992-2022";"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1)"
90;16772;"Canadian Journal of Political Science";journal;"17449324, 00084239";1,359;Q1;40;57;142;2949;506;141;4,08;51,74;United Kingdom;Western Europe;"Cambridge University Press";"1968-2021";"Sociology and Political Science (Q1)"
91;25733;"Journal of Criminal Justice";journal;"00472352";1,359;Q1;85;74;197;5581;875;197;4,61;75,42;United Kingdom;Western Europe;"Elsevier BV";"1973-2021";"Applied Psychology (Q1); Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
92;17497;"British Journal of Sociology";journal;"00071315, 14684446";1,335;Q1;99;86;225;5196;681;195;3,07;60,42;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1965-1977, 1979-1984, 1987-2021";"Sociology and Political Science (Q1)"
93;26796;"Socio-Economic Review";journal;"14751461";1,315;Q1;62;70;97;5413;368;92;2,72;77,33;United Kingdom;Western Europe;"Oxford University Press";"2005-2021";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)"
94;18405;"Educational Technology and Society";journal;"11763647, 14364522";1,311;Q1;95;66;150;3326;805;144;3,19;50,39;Taiwan;Asiatic Region;"";"1998-2021";"Education (Q1); E-learning (Q1); Engineering (miscellaneous) (Q1); Sociology and Political Science (Q1)"
95;14000156253;"Regulation and Governance";journal;"17485983, 17485991";1,293;Q1;49;120;145;9700;578;145;3,24;80,83;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2021";"Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
96;15673;"Journal of Rural Studies";journal;"07430167";1,292;Q1;114;324;649;23922;3617;636;5,17;73,83;United Kingdom;Western Europe;"Elsevier Ltd.";"1985-2021";"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
97;22762;"Policy and Politics";journal;"03055736, 14708442";1,278;Q1;56;30;103;1996;448;103;3,28;66,53;United Kingdom;Western Europe;"Policy Press";"1979-2021";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
98;17560;"Social Problems";journal;"15338533, 00377791";1,278;Q1;101;24;89;1565;327;88;3,98;65,21;United States;Northern America;"Oxford University Press";"1973, 1975, 1977-1979, 1982, 1984, 1989-1990, 1993, 1995-2021";"Sociology and Political Science (Q1)"
99;24592;"European Journal of International Relations";journal;"13540661";1,269;Q1;93;53;149;4683;513;144;2,74;88,36;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
100;14946;"Group Processes and Intergroup Relations";journal;"14617188, 13684302";1,269;Q1;79;154;206;10009;792;200;3,15;64,99;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2021";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
101;14230;"Cultural Diversity and Ethnic Minority Psychology";journal;"10999809, 19390106";1,249;Q1;84;89;174;5838;740;170;3,75;65,60;United States;Northern America;"American Psychological Association";"1999-2021";"Social Psychology (Q1); Sociology and Political Science (Q1)"
102;19089;"Government and Opposition";journal;"0017257X, 14777053";1,240;Q1;54;74;102;5106;375;102;3,70;69,00;United Kingdom;Western Europe;"Cambridge University Press";"1965-2021";"Public Administration (Q1); Sociology and Political Science (Q1)"
103;22087;"Theoretical Criminology";journal;"14617439, 13624806";1,233;Q1;77;41;102;3203;367;96;3,22;78,12;United Kingdom;Western Europe;"SAGE Publications Ltd";"1997-2021";"Law (Q1); Pathology and Forensic Medicine (Q1); Sociology and Political Science (Q1)"
104;25654;"Post-Soviet Affairs";journal;"1060586X";1,231;Q1;47;36;86;2608;246;79;1,81;72,44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2021";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
105;19700188900;"Social Psychology";journal;"18649335, 21512590";1,230;Q1;39;34;96;1525;315;93;3,10;44,85;Germany;Western Europe;"Hogrefe Publishing GmbH &amp; Co. KG";"2008-2021";"Arts and Humanities (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
